date,file_count,event_count
2026-01-01,96,63029
2026-01-02,96,73887
2026-01-03,96,70613
2026-01-04,96,73331
2026-01-05,96,112019
2026-01-06,96,124325
2026-01-07,96,130139
2026-01-08,96,127488
2026-01-09,96,124656
2026-01-10,96,80503
2026-01-11,96,65638
2026-01-12,96,111025
2026-01-13,96,128134
2026-01-14,96,133695
2026-01-15,96,135604
2026-01-16,96,124941
2026-01-17,96,83893
2026-01-18,96,71522
2026-01-19,96,107527
2026-01-20,96,129995
2026-01-21,96,137028
2026-01-22,96,136886
2026-01-23,96,128390
2026-01-24,96,81326
2026-01-25,96,65639
2026-01-26,96,105498
2026-01-27,96,124580
2026-01-28,96,125899
2026-01-29,96,130029
2026-01-30,96,123059
2026-01-31,96,79636
2026-02-01,96,66769
2026-02-02,96,106742
2026-02-03,96,126298
2026-02-04,96,129888
2026-02-05,96,129241
2026-02-06,96,119940
2026-02-07,96,76180
2026-02-08,96,62291
2026-02-09,96,108807
2026-02-10,96,123689
2026-02-11,96,133684
2026-02-12,96,129642
2026-02-13,96,122708
2026-02-14,96,81731
2026-02-15,96,66753
2026-02-16,96,103855
2026-02-17,96,119704
2026-02-18,96,128728
2026-02-19,96,133910
2026-02-20,96,120940
2026-02-21,96,75420
2026-02-22,96,65302
2026-02-23,96,111996
2026-02-24,96,131378
2026-02-25,96,128403
2026-02-26,96,133978
2026-02-27,96,131143
2026-02-28,96,110266
2026-03-01,96,98894
2026-03-02,96,138330
2026-03-03,96,148505
2026-03-04,96,145481
2026-03-05,96,150744
2026-03-06,96,137365
2026-03-07,96,91984
2026-03-08,96,78314
2026-03-09,96,116756
2026-03-10,96,126772
2026-03-11,96,131556
2026-03-12,96,135264
2026-03-13,96,131018
2026-03-14,96,83832
2026-03-15,96,68671
2026-03-16,96,118908
2026-03-17,96,133392
2026-03-18,96,135362
2026-03-19,96,131899
2026-03-20,96,116574
2026-03-21,96,71336
2026-03-22,96,58599
2026-03-23,96,100882
2026-03-24,96,119066
2026-03-25,96,123713
2026-03-26,96,122103
2026-03-27,96,113765
2026-03-28,96,77524
2026-03-29,96,68512
2026-03-30,96,112958
2026-03-31,96,120412
2026-04-01,96,123481
2026-04-02,96,113383
2026-04-03,96,94378
2026-04-04,96,62289
2026-04-05,96,56140
2026-04-06,96,87991
2026-04-07,96,112475
2026-04-08,96,127559
2026-04-09,96,126931
2026-04-10,96,119162
2026-04-11,96,75564
2026-04-12,96,61824
2026-04-13,96,103885
2026-04-14,96,120887
2026-04-15,96,122563
2026-04-16,96,125737
2026-04-17,96,115991
2026-04-18,96,72396
2026-04-19,96,61844
2026-04-20,96,105601
2026-04-21,96,121065
2026-04-22,96,119440
2026-04-23,96,121275
2026-04-24,96,118463
2026-04-25,96,74020
2026-04-26,96,64486
2026-04-27,96,106931
2026-04-28,96,121189
2026-04-29,96,122914
2026-04-30,96,120744
2026-05-01,96,109683
2026-05-02,96,73830
2026-05-03,96,62171
2026-05-04,96,99997
2026-05-05,96,117609
2026-05-06,96,126185
2026-05-07,96,129162
2026-05-08,96,122881
2026-05-09,95,73517
2026-05-10,96,64629
2026-05-11,96,109897
2026-05-12,96,123387
2026-05-13,96,125119
2026-05-14,96,127851
2026-05-15,96,118201
2026-05-16,96,73293
2026-05-17,96,62088
2026-05-18,96,106043
2026-05-19,96,119381
2026-05-20,96,126470
2026-05-21,96,122237
2026-05-22,96,115380
2026-05-23,96,71773
2026-05-24,96,61579
2026-05-25,96,86512
2026-05-26,96,109420
2026-05-27,96,113354
2026-05-28,96,113684
2026-05-29,96,112881
2026-05-30,96,66534
2026-05-31,93,54829
